"theta";"mu";"sigma";"MaxPStrat";"MaxMStrat"
50;0,01;0,05;104,494429593058;105,131764028344
51;0,01;0,05;104,686966962394;105,268478689685
52;0,01;0,05;105,536338777073;105,389722533451
53;0,01;0,05;104,344437771001;105,074326535923
54;0,01;0,05;104,727001398141;105,044272747393
55;0,01;0,05;104,901629991195;104,600899771245
50;0,02;0,05;105,15147847704;104,982084757673
51;0,02;0,05;104,715157633803;105,010082199505
52;0,02;0,05;105,110589725501;105,115864504197
53;0,02;0,05;105,657788144465;105,41763831545
54;0,02;0,05;105,047907496405;104,517742193877
55;0,02;0,05;104,977027266283;105,569511553667
50;0,03;0,05;105,667978072729;104,830356084586
51;0,03;0,05;105,59115759816;104,991173451119
52;0,03;0,05;105,151519245513;105,039282582459
53;0,03;0,05;105,25258923805;105,558702093615
54;0,03;0,05;104,605734451471;105,319762040715
55;0,03;0,05;104,848650581706;105,303688966843
50;0,04;0,05;106,05703795044;104,821502822152
51;0,04;0,05;105,883880777504;104,995756091479
52;0,04;0,05;105,446682785259;105,560963477588
53;0,04;0,05;104,941677590704;105,443412937342
54;0,04;0,05;104,923921872418;105,421160435882
55;0,04;0,05;104,801805201794;105,755876497516
50;0,05;0,05;105,324985948587;105,499617408845
51;0,05;0,05;105,453631940528;105,150428898205
52;0,05;0,05;104,902413880466;105,42371323667
53;0,05;0,05;105,257686910176;105,395541875934
54;0,05;0,05;105,032256148757;105,344179610761
55;0,05;0,05;104,967032462567;105,618614310658
50;0,06;0,05;105,306687744016;105,280416101147
51;0,06;0,05;105,61507136624;104,570031748158
52;0,06;0,05;104,799966548702;105,024609199499
53;0,06;0,05;105,26105232985;104,903033774656
54;0,06;0,05;105,024611358274;105,379255262456
55;0,06;0,05;105,394352637825;105,360179951884
50;0,07;0,05;105,746891686214;105,35803612629
51;0,07;0,05;105,111720065943;105,334801601402
52;0,07;0,05;105,365453738947;104,931109469266
53;0,07;0,05;105,662150300247;104,779935663478
54;0,07;0,05;105,56882909788;104,890009882645
55;0,07;0,05;105,064339208033;105,426316385963
50;0,08;0,05;105,731007699184;105,380983985234
51;0,08;0,05;105,563048522928;105,378607071462
52;0,08;0,05;105,661770779722;105,403191771431
53;0,08;0,05;105,702275317542;105,18987116011
54;0,08;0,05;105,413687780035;105,229305258859
55;0,08;0,05;105,537920364492;105,53772986968
50;0,09;0,05;105,600857634432;105,436755834674
51;0,09;0,05;105,280671390384;105,193517465534
52;0,09;0,05;105,573981652247;104,664740363102
53;0,09;0,05;105,247601588606;105,391570458313
54;0,09;0,05;105,525405505433;104,969225432086
55;0,09;0,05;105,6155445327;105,989083197772
50;0,1;0,05;106,012932820963;105,177445154801
51;0,1;0,05;105,522455804173;104,606217914945
52;0,1;0,05;105,237023404674;104,604106282765
53;0,1;0,05;106,060504642594;104,946465225027
54;0,1;0,05;105,877161091979;105,816686306451
55;0,1;0,05;105,182848877265;105,688567619857
50;0,01;0,06;105,963978392666;106,14385839123
51;0,01;0,06;105,430799888764;106,755888582833
52;0,01;0,06;105,030683521243;106,709609163029
53;0,01;0,06;105,590123939158;107,057877444744
54;0,01;0,06;105,232436323068;106,833866053282
55;0,01;0,06;105,198821311291;107,207926168471
50;0,02;0,06;105,340053173458;107,285347462153
51;0,02;0,06;106,032224380225;106,416808469633
52;0,02;0,06;105,286260821068;106,379349772725
53;0,02;0,06;105,154335657331;106,139862022531
54;0,02;0,06;104,965045960546;106,037626517747
55;0,02;0,06;105,355329104572;106,080409672058
50;0,03;0,06;105,719187325945;106,136999092581
51;0,03;0,06;105,558226696232;106,556406310969
52;0,03;0,06;105,927121103887;106,824990574176
53;0,03;0,06;105,421258578074;106,205842547426
54;0,03;0,06;105,406223435941;106,769696224645
55;0,03;0,06;105,755485424465;106,808687197858
50;0,04;0,06;105,272741882851;106,597968565992
51;0,04;0,06;105,403416986228;106,460207758809
52;0,04;0,06;106,05472601087;106,479449358098
53;0,04;0,06;105,464525009932;106,424443976197
54;0,04;0,06;105,673142836307;107,612104152881
55;0,04;0,06;105,403388121749;105,914514797923
50;0,05;0,06;106,185562706898;106,47711036021
51;0,05;0,06;105,343456648902;106,960345552842
52;0,05;0,06;105,509025962193;106,954058504486
53;0,05;0,06;105,466219943895;106,822501195837
54;0,05;0,06;105,544646110561;107,400997330578
55;0,05;0,06;105,607240991718;107,707871306117
50;0,06;0,06;105,789849814442;106,1457301969
51;0,06;0,06;105,671287578097;106,789783003604
52;0,06;0,06;106,425362117474;106,797592058645
53;0,06;0,06;105,366918940411;106,968536874342
